cv_var,cv_mode,cv_iqr,cv at CPV > 0.8,training_size
0.0005631408859907376,"ModeResult(mode=array([0.12459185]), count=array([47]))",0.029978409830271183,0.1245918549653963,75
0.002863041869084607,"ModeResult(mode=array([0.04681218]), count=array([39]))",0.06062794537761184,0.046812183988348,75
0.0034731206515143565,"ModeResult(mode=array([0.30550505]), count=array([10]))",0.08439067466241257,0.3056560248650959,75
0.007238891199203948,"ModeResult(mode=array([0.33120066]), count=array([32]))",0.1457208000650296,0.331200660553418,75
0.0008809879575250569,"ModeResult(mode=array([0.08165368]), count=array([17]))",0.05846951307131759,0.1211664305100615,225
3.2188544416876615e-05,"ModeResult(mode=array([0.07518532]), count=array([43]))",0.0022969455240793996,0.0751853166965129,225
6.594160032891523e-05,"ModeResult(mode=array([0.02644702]), count=array([66]))",0.0,0.0264470208615631,225
3.4583593340273078e-06,"ModeResult(mode=array([0.10878832]), count=array([33]))",3.164356910628774e-05,0.1087883177424298,225
6.352252393573012e-05,"ModeResult(mode=array([0.04771009]), count=array([24]))",0.0037800532396951997,-1.0,1098
4.9836310574798886e-05,"ModeResult(mode=array([0.03365043]), count=array([20]))",0.002394935009879695,-1.0,1098
4.1603992800854806e-05,"ModeResult(mode=array([0.02335272]), count=array([10]))",0.001668075174050699,-1.0,1098
2.5892121205082587e-05,"ModeResult(mode=array([0.0895799]), count=array([16]))",0.002304351145974104,-1.0,1098
1.3986560325028979e-06,"ModeResult(mode=array([0.09223409]), count=array([10]))",0.0009726882096106337,-1.0,2196
1.3312424176843453e-05,"ModeResult(mode=array([0.08213319]), count=array([9]))",0.002816955213882519,-1.0,2196
1.2013438310937148e-06,"ModeResult(mode=array([0.08461466]), count=array([6]))",0.0010445779362507485,-1.0,2196
3.5336540342606605e-05,"ModeResult(mode=array([0.07521471]), count=array([12]))",0.0022059504806230257,-1.0,2196
