features_kept,cv,cluster_performances,mean_centroid_distance
1,0.17038796479175722,"[18.41498505621349, 20.58694590200292, 17.977970709451814, 26.92572265501447]",0.26409907927307524
2,0.1828252558804243,"[17.74759866206162, 27.514005025227863, 18.45639312500217, 20.68946626051417]",0.38899497109388853
3,0.18386502883701414,"[17.533026814460754, 18.59867746568882, 20.771002493763422, 27.514005025227863]",0.47169879812996035
4,0.19393782070557897,"[18.466616466244414, 17.598113069167503, 20.72988565650904, 28.058298465424933]",0.5012221869546236
5,0.1938961643525695,"[28.058298465424933, 20.68946626051417, 17.597663961924038, 18.48615371758211]",0.5239993049622076
6,0.19359402640097803,"[28.038572058213497, 17.58413614083722, 20.68946626051417, 18.499169041870765]",0.5440203950195033
7,0.19056986706133683,"[18.563047230769296, 20.68946626051417, 17.57521769267306, 27.894609164347692]",0.5530845145008585
8,0.19086252901460696,"[18.5839699980674, 20.68946626051417, 27.894609164347692, 17.536346743334185]",0.5615020026813294
9,0.19078824010366324,"[27.894609164347692, 17.546762401617848, 20.72988565650904, 18.563047230769296]",0.5688591573737479
10,0.1906446179122179,"[17.568070358313495, 18.564737732255395, 20.68946626051417, 27.894609164347692]",0.5741425330874127
11,0.19086556892273282,"[17.53945882843762, 27.894609164347692, 20.72988565650904, 18.564737732255395]",0.5779908438958979
12,0.19068745831919218,"[17.56771558218629, 27.894609164347692, 20.72988565650904, 18.546096452524964]",0.5815664360341481
13,0.19068745831919223,"[27.894609164347692, 18.546096452524964, 20.72988565650904, 17.56771558218629]",0.5846158321526096
14,0.19124861140449992,"[17.477706899852798, 18.607248714513947, 20.72988565650904, 27.894609164347692]",0.587376644504398
15,0.19124861140449995,"[20.72988565650904, 18.607248714513947, 17.477706899852798, 27.894609164347692]",0.5894412172844196
16,0.19068745831919218,"[17.56771558218629, 18.546096452524964, 20.72988565650904, 27.894609164347692]",0.5914430451585793
17,0.19091492613585204,"[18.5833239605907, 20.72988565650904, 27.894609164347692, 17.521434691569997]",0.59333775387876
18,0.19068745831919218,"[17.56771558218629, 18.546096452524964, 20.72988565650904, 27.894609164347692]",0.5950098456212408
19,0.19068745831919226,"[18.546096452524964, 20.72988565650904, 27.894609164347692, 17.56771558218629]",0.5967359176190167
20,0.19068745831919226,"[18.546096452524964, 20.72988565650904, 27.894609164347692, 17.56771558218629]",0.5980781900167812
21,0.19068745831919218,"[27.894609164347692, 20.72988565650904, 17.56771558218629, 18.546096452524964]",0.5991338810237006
22,0.19068745831919218,"[17.56771558218629, 27.894609164347692, 18.546096452524964, 20.72988565650904]",0.6002666785902088
23,0.19068745831919218,"[17.56771558218629, 27.894609164347692, 18.546096452524964, 20.72988565650904]",0.6012238954471136
24,0.19068745831919218,"[17.56771558218629, 27.894609164347692, 18.546096452524964, 20.72988565650904]",0.6020603744166663
25,0.19068745831919218,"[17.56771558218629, 27.894609164347692, 18.546096452524964, 20.72988565650904]",0.6028553161304311
26,0.19124861140449997,"[18.607248714513947, 20.72988565650904, 27.894609164347692, 17.477706899852798]",0.6035279797409915
27,0.19105952659754794,"[18.58871490800318, 20.72988565650904, 27.894609164347692, 17.506183186973015]",0.6041604420272948
28,0.19068745831919218,"[20.72988565650904, 17.56771558218629, 18.546096452524964, 27.894609164347692]",0.6047377610023206
