,cv,num_pc,cluster_accuracy,cluster_distance
0,1.1345267825874201,1,"[25.655573586160823, 24.011133466448104, 36.24359648568289, 22.846476745605468]","(28.30424056902795, 17.115917855377187, 9.622385451592068)"
1,1.012880314060968,2,"[25.330185906361724, 28.013778686523438, 14.908827268160302, 31.820163623706716]","(25.51016318501131, 18.351515848136945, 8.890349659666049)"
2,1.03406469619573,3,"[30.300931440080916, 14.908827268160302, 25.881461588541665, 28.013778686523438]","(25.54511031357895, 18.43629945774475, 8.877175903010029)"
3,1.0122353521603882,5,"[31.820163623706716, 25.330185906361724, 24.836506843566895, 15.934929211934403]","(25.28582082645201, 18.463902045419175, 8.866333677515238)"
4,1.0155846813033167,10,"[25.330185906361724, 31.21419966848273, 24.836506843566895, 16.584147019819774]","(26.05517900104364, 19.129678793607, 8.97034771000234)"
5,1.0160989828048952,15,"[31.21419966848273, 25.330185906361724, 15.418435096740717, 28.013778686523438]","(26.064496156349094, 19.15898542758851, 8.98957733195506)"
6,1.0160989828048952,20,"[25.330185906361724, 15.418435096740717, 31.21419966848273, 28.013778686523438]","(26.055027473078695, 19.151955288953808, 9.011405095725598)"
7,1.005892841292384,30,"[30.739794021997696, 25.438030405941173, 15.418435096740717, 28.013778686523438]","(26.076322366545323, 19.18368600279016, 8.999818017597905)"
8,1.0160989828048952,50,"[31.21419966848273, 25.330185906361724, 15.418435096740717, 28.013778686523438]","(26.068235964960444, 19.17728669879169, 9.020270775208642)"
9,1.0160989828048952,70,"[15.418435096740717, 25.330185906361724, 28.013778686523438, 31.21419966848273]","(26.068921549631927, 19.1787873057162, 9.020786540391702)"
