features_kept,cv,cluster_performances,mean_centroid_distance
1,0.10285017891903231,"[0.7368421052631579, 0.5555555555555556, 0.6666666666666666, 0.6190476190476191]",3.3240205978254966
2,0.13497641640850574,"[0.7307692307692307, 0.6122448979591837, 0.5, 0.6666666666666666]",7.1416071068327955
3,0.12705631467676143,"[0.5918367346938775, 0.8, 0.6, 0.6451612903225806]",9.6241148444615
4,0.1271004274729519,"[0.7142857142857143, 0.8, 0.6206896551724138, 0.5769230769230769]",11.669140542192595
5,0.1271004274729519,"[0.7142857142857143, 0.8, 0.5769230769230769, 0.6206896551724138]",13.329019270089802
6,0.12710042747295186,"[0.8, 0.5769230769230769, 0.7142857142857143, 0.6206896551724138]",14.839406322983056
7,0.12886196415850165,"[0.5882352941176471, 0.8, 0.7142857142857143, 0.6]",16.093686038398193
8,0.14615799387697123,"[0.5740740740740741, 0.6153846153846154, 0.7142857142857143, 0.8333333333333334]",17.067474009995255
9,0.16105341928871628,"[0.8333333333333334, 0.7692307692307693, 0.5925925925925926, 0.5740740740740741]",17.908077370056525
10,0.16105341928871628,"[0.8333333333333334, 0.7692307692307693, 0.5925925925925926, 0.5740740740740741]",18.76147059184007
11,0.14615799387697126,"[0.7142857142857143, 0.6153846153846154, 0.5740740740740741, 0.8333333333333334]",19.446871522917377
12,0.15147734983026664,"[0.5660377358490566, 0.7333333333333333, 0.6153846153846154, 0.8333333333333334]",20.058650110788598
13,0.15147734983026664,"[0.6153846153846154, 0.5660377358490566, 0.7333333333333333, 0.8333333333333334]",20.614691795701045
14,0.15147734983026664,"[0.6153846153846154, 0.5660377358490566, 0.7333333333333333, 0.8333333333333334]",21.107755713530654
15,0.15147734983026664,"[0.5660377358490566, 0.7333333333333333, 0.6153846153846154, 0.8333333333333334]",21.60881473015329
16,0.15147734983026664,"[0.5660377358490566, 0.6153846153846154, 0.7333333333333333, 0.8333333333333334]",22.016459090293573
17,0.14615799387697123,"[0.5740740740740741, 0.6153846153846154, 0.7142857142857143, 0.8333333333333334]",22.416605976056093
18,0.15147734983026664,"[0.5660377358490566, 0.8333333333333334, 0.7333333333333333, 0.6153846153846154]",22.80123100060926
19,0.15147734983026664,"[0.5660377358490566, 0.7333333333333333, 0.6153846153846154, 0.8333333333333334]",23.10602309210314
20,0.15948240308925035,"[0.6071428571428571, 0.7692307692307693, 0.5660377358490566, 0.8333333333333334]",23.415712607403947
21,0.16105341928871628,"[0.5740740740740741, 0.8333333333333334, 0.7692307692307693, 0.5925925925925926]",23.72952253725318
22,0.1339674905970371,"[0.6428571428571429, 0.5576923076923077, 0.8, 0.7333333333333333]",24.007278212610967
23,0.16406720150677528,"[0.5818181818181818, 0.7692307692307693, 0.5769230769230769, 0.8333333333333334]",24.27027853017317
24,0.16406720150677528,"[0.5769230769230769, 0.7692307692307693, 0.5818181818181818, 0.8333333333333334]",24.526693663411496
25,0.14422370489474517,"[0.6, 0.7692307692307693, 0.8, 0.5769230769230769]",24.762018335803507
26,0.16952750006759082,"[0.5555555555555556, 0.7692307692307693, 0.5925925925925926, 0.8333333333333334]",24.98401182132962
27,0.12710042747295183,"[0.6206896551724138, 0.8, 0.7142857142857143, 0.5769230769230769]",25.18178581491286
28,0.16406720150677526,"[0.5818181818181818, 0.7692307692307693, 0.8333333333333334, 0.5769230769230769]",25.40130623688771
29,0.17071476283584086,"[0.5740740740740741, 0.8333333333333334, 0.5769230769230769, 0.7857142857142857]",25.584875085192536
30,0.16406720150677528,"[0.5769230769230769, 0.5818181818181818, 0.7692307692307693, 0.8333333333333334]",25.764358090125132
31,0.1695275000675908,"[0.5925925925925926, 0.8333333333333334, 0.5555555555555556, 0.7692307692307693]",25.9408611009878
32,0.17071476283584086,"[0.5740740740740741, 0.8333333333333334, 0.5769230769230769, 0.7857142857142857]",26.118049264825704
33,0.16406720150677528,"[0.5769230769230769, 0.7692307692307693, 0.8333333333333334, 0.5818181818181818]",26.286685460208005
34,0.1695275000675908,"[0.5555555555555556, 0.7692307692307693, 0.8333333333333334, 0.5925925925925926]",26.436836163289122
35,0.1695275000675908,"[0.5555555555555556, 0.7692307692307693, 0.8333333333333334, 0.5925925925925926]",26.581264777766652
36,0.16406720150677528,"[0.5818181818181818, 0.7692307692307693, 0.5769230769230769, 0.8333333333333334]",26.724708791252944
