,cv,num_pc,cluster_accuracy,cluster_distance
0,0.9320531759859042,1,"[15.314199508736827, 14.792075995242957, 19.220784672519617, 27.347438267299108]","(40.6378346436016, 25.659777964352802, 7.354734726098006)"
1,0.8865686661950227,2,"[14.61326283059246, 22.625674854625355, 15.037823161563358, 20.486338427369024]","(48.0875043904799, 30.125410920441233, 8.078147545002812)"
2,0.8952736054994431,3,"[20.1702340192573, 13.893550600324359, 14.942650938375468, 22.625674854625355]","(48.13643388418195, 30.284402002015256, 8.184307005382783)"
3,0.8638343731795036,5,"[15.198336847602864, 14.520668675822597, 18.83381846226544, 22.625674854625355]","(48.54079911724024, 31.154361133693115, 8.10610643950973)"
4,0.8753502288138593,10,"[15.60014468484354, 14.671627011792413, 22.625674854625355, 18.150728248459682]","(49.32899882894448, 31.811034648081417, 8.208051070625356)"
5,0.876896601918426,15,"[15.254914927686382, 18.15323272293913, 16.59661102294922, 15.605007422407418]","(50.113208036711555, 32.20027129755988, 8.231085184754281)"
6,0.8843475955885578,20,"[18.229715002907646, 15.627457284807258, 17.512797037760418, 14.602937528065272]","(58.48248773103745, 36.3029111190392, 8.320306634720636)"
7,0.8841251816443797,30,"[15.623107780600494, 18.18135986100155, 17.512797037760418, 14.903478875624396]","(59.818889124531346, 36.92074791383728, 8.324588248323762)"
8,0.8847855201416829,50,"[18.207600702068763, 17.512797037760418, 15.609805758874021, 14.903478875624396]","(58.65338311926662, 36.39077874334287, 8.331206944338465)"
9,0.8861181719645091,80,"[15.614219268760586, 18.210954627914276, 14.903478875624396, 17.512797037760418]","(58.669788012708935, 36.38902135000549, 8.343765512217336)"
