,cv,num_pc,cluster_accuracy,cluster_distance
0,0.17435595774162696,1,"[0.6666666666666666, 0.8333333333333334, 0.5, 0.6]","(19.561191936790404, 16.236254332061694, 9.843821372329744)"
1,0.26229754097208,2,"[0.8333333333333334, 0.5555555555555556, 0.6, 0.6]","(19.56119329311236, 16.317629275485146, 9.947690221336671)"
2,0.17435595774162696,3,"[0.6, 0.8333333333333334, 0.6666666666666666, 0.5]","(19.574590062163544, 16.337299991987194, 9.95180924771658)"
3,0.17435595774162696,5,"[0.5, 0.8333333333333334, 0.6, 0.6666666666666666]","(19.08425602534788, 17.20806568075463, 10.574931884723958)"
4,0.36441734316577196,10,"[0.8333333333333334, 0.25, 0.7, 0.6]","(19.599884209565378, 17.085443306242265, 11.029788362608219)"
5,0.36441734316577196,15,"[0.6, 0.5, 0.6, 0.8333333333333334]","(19.778824816028763, 17.157806688895196, 11.171265811395658)"
6,0.41376321731154403,20,"[0.6, 0.6, 0.8571428571428571, 0.3333333333333333]","(19.618453389447154, 17.25788551258107, 11.25313433173916)"
7,0.36441734316577196,30,"[0.5, 0.6, 0.8333333333333334, 0.6]","(19.777577740177673, 17.329254204491, 11.427606614482606)"
8,0.132664991614216,50,"[0.6, 0.5714285714285714, 0.8333333333333334, 0.5714285714285714]","(19.546250921279565, 17.505784482684422, 11.031351992159173)"
9,0.6437390775772432,70,"[0.5, 0.875, 0.3333333333333333, 0.5833333333333334]","(20.4748603172204, 17.40830220837976, 11.663640607720948)"
