,cv,num_pc,cluster_accuracy,cluster_distance
0,0.1067323769651618,1,"[0.9673202614379085, 0.9285714285714286, 0.8115942028985508, 0.7631578947368421]","(26.297238696189133, 16.117491377120132, 9.469343652896713)"
1,0.1081221799858436,2,"[0.9273743016759777, 0.9607843137254902, 0.7628865979381443, 0.8203883495145631]","(26.14286913748733, 16.264036932601105, 9.572165584495513)"
2,0.1439037604618983,3,"[0.9281767955801105, 0.972027972027972, 0.7604166666666666, 0.8194444444444444]","(26.35556913962655, 16.40258247406989, 9.586583476990665)"
3,0.1341304667610227,5,"[0.9724137931034482, 0.7680412371134021, 0.9171270718232044, 0.8207547169811321]","(26.24063490027372, 16.383661911573718, 9.6169095562682)"
4,0.13786312362341926,10,"[0.9234972677595629, 0.9722222222222222, 0.8177570093457944, 0.7643979057591623]","(26.243414978841344, 16.419613636148735, 9.63329265482177)"
5,0.14059759923790827,15,"[0.972027972027972, 0.7692307692307693, 0.8169014084507042, 0.9226519337016574]","(26.400508291489317, 16.55470480940808, 9.662924390077118)"
6,0.13318095745304853,20,"[0.7692307692307693, 0.9727891156462585, 0.9265536723163842, 0.812206572769953]","(26.174744453056388, 16.373875587521326, 9.64876978240178)"
7,0.13177219182281413,30,"[0.7715736040609137, 0.8207547169811321, 0.9662162162162162, 0.92]","(26.154679833704037, 16.40404280187232, 9.659774647680285)"
8,0.1624247425978344,50,"[0.7772277227722773, 0.9712230215827338, 0.8202764976958525, 0.9195402298850575]","(26.50275302356833, 16.669166585710073, 9.696091663947307)"
9,0.16196448453856754,70,"[0.92, 0.8211009174311926, 0.775, 0.9712230215827338]","(26.437381058940208, 16.618764129523385, 9.69848589261997)"
