,features_kept,cv,cluster_accuracy,mean_centroid_distance
0,1,0.10162173576643238,"[0.7777777777777778, 0.984375, 0.9583333333333334, 0.8110599078341014]",1.0495758092048497
1,2,0.09964296857690666,"[0.772093023255814, 0.9385474860335196, 1.0, 0.8360655737704918]",2.221424767501906
2,3,0.09368394489617674,"[0.9928571428571429, 0.8383838383838383, 0.7837837837837838, 0.9476744186046512]",3.4196394404357755
3,5,0.08113317607800331,"[0.943502824858757, 0.8498168498168498, 0.8160377358490566, 1.0]",4.643431941608314
4,10,0.08065653701047107,"[1.0, 0.8177570093457944, 0.8487084870848709, 0.9425287356321839]",6.038535204688223
5,15,0.08027477291458743,"[0.8207547169811321, 1.0, 0.8461538461538461, 0.9428571428571428]",6.894952877000957
6,20,0.07995060641318663,"[0.9425287356321839, 0.8461538461538461, 0.8215962441314554, 1.0]",7.4964825543264
7,30,0.08180131031963259,"[0.8186046511627907, 0.8455882352941176, 0.9476744186046512, 1.0]",8.340513774197246
8,50,0.08420076341435252,"[1.0, 0.8119266055045872, 0.8487084870848709, 0.9529411764705882]",9.393537544253753
9,70,0.08195587479458216,"[0.8177570093457944, 0.9476744186046512, 0.8461538461538461, 1.0]",10.053281370107058
