features_kept,cv,cluster_performances,mean_centroid_distance
1,0.09236816668767406,"[1.0, 0.8571428571428571, 0.7894736842105263, 0.8235294117647058]",0.8898264055158592
2,0.043413663759797626,"[0.875, 0.8823529411764706, 0.8125, 0.8]",1.9397631572826646
3,0.03178306716089082,"[0.875, 0.8333333333333334, 0.8387096774193549, 0.8]",2.957573151881374
4,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8387096774193549, 0.8181818181818182]",3.7165962269817365
5,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8181818181818182, 0.8387096774193549]",4.293285541359148
6,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8387096774193549, 0.8181818181818182]",4.762633626881198
7,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8387096774193549, 0.8181818181818182]",5.140535408012203
8,0.02644702086156319,"[0.8387096774193549, 0.8181818181818182, 0.875, 0.8235294117647058]",5.486057689419874
9,0.02644702086156319,"[0.875, 0.8181818181818182, 0.8387096774193549, 0.8235294117647058]",5.736514339861844
10,0.02644702086156319,"[0.8235294117647058, 0.875, 0.8387096774193549, 0.8181818181818182]",6.028608998765279
11,0.026804614643881522,"[0.875, 0.8125, 0.8387096774193549, 0.8333333333333334]",6.268621209162148
12,0.02644702086156319,"[0.8387096774193549, 0.8235294117647058, 0.875, 0.8181818181818182]",6.491630016606452
13,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8387096774193549, 0.8181818181818182]",6.668249552717986
14,0.02644702086156319,"[0.8387096774193549, 0.8235294117647058, 0.875, 0.8181818181818182]",6.858445438325321
15,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8387096774193549, 0.8181818181818182]",7.053361083945404
16,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8387096774193549, 0.8181818181818182]",7.216791435369226
17,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8387096774193549, 0.8181818181818182]",7.379363838186184
18,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8387096774193549, 0.8181818181818182]",7.526915125963864
19,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8387096774193549, 0.8181818181818182]",7.662766499780056
20,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8387096774193549, 0.8181818181818182]",7.794604307288175
21,0.02644702086156319,"[0.8387096774193549, 0.8181818181818182, 0.8235294117647058, 0.875]",7.921048128583762
22,0.026447020861563194,"[0.875, 0.8181818181818182, 0.8235294117647058, 0.8387096774193549]",8.046170252583288
23,0.02644702086156319,"[0.8387096774193549, 0.8181818181818182, 0.8235294117647058, 0.875]",8.162711778401778
24,0.02644702086156319,"[0.8387096774193549, 0.8181818181818182, 0.8235294117647058, 0.875]",8.278907227516354
25,0.02644702086156319,"[0.8235294117647058, 0.8387096774193549, 0.8181818181818182, 0.875]",8.386978689718239
26,0.02644702086156319,"[0.8387096774193549, 0.8181818181818182, 0.8235294117647058, 0.875]",8.489601491077176
27,0.02644702086156319,"[0.8181818181818182, 0.8387096774193549, 0.8235294117647058, 0.875]",8.586202215995499
28,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8181818181818182, 0.8387096774193549]",8.681154019725543
29,0.02644702086156319,"[0.875, 0.8181818181818182, 0.8387096774193549, 0.8235294117647058]",8.772147480703982
30,0.02644702086156319,"[0.875, 0.8181818181818182, 0.8387096774193549, 0.8235294117647058]",8.865295909006141
31,0.02644702086156319,"[0.875, 0.8181818181818182, 0.8387096774193549, 0.8235294117647058]",8.95399658692711
32,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8181818181818182, 0.8387096774193549]",9.036089354023815
33,0.026447020861563194,"[0.875, 0.8181818181818182, 0.8235294117647058, 0.8387096774193549]",9.116690444739664
34,0.02644702086156319,"[0.8235294117647058, 0.8387096774193549, 0.875, 0.8181818181818182]",9.191814231901953
35,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8387096774193549, 0.8181818181818182]",9.264595105576102
36,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8387096774193549, 0.8181818181818182]",9.335278225375284
37,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8387096774193549, 0.8181818181818182]",9.402223205758977
38,0.02644702086156319,"[0.875, 0.8181818181818182, 0.8387096774193549, 0.8235294117647058]",9.46872321049066
39,0.02644702086156319,"[0.8387096774193549, 0.8181818181818182, 0.8235294117647058, 0.875]",9.532089326236237
40,0.02644702086156319,"[0.875, 0.8181818181818182, 0.8387096774193549, 0.8235294117647058]",9.593112694447047
41,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8181818181818182, 0.8387096774193549]",9.653044282109107
42,0.02644702086156319,"[0.8387096774193549, 0.8235294117647058, 0.875, 0.8181818181818182]",9.711421305678765
43,0.02644702086156319,"[0.8387096774193549, 0.8235294117647058, 0.875, 0.8181818181818182]",9.767144457458048
44,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8181818181818182, 0.8387096774193549]",9.8217179515357
45,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8181818181818182, 0.8387096774193549]",9.87546785003724
46,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8181818181818182, 0.8387096774193549]",9.924734870903889
47,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8181818181818182, 0.8387096774193549]",9.97447085752021
48,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8181818181818182, 0.8387096774193549]",10.025695572910681
49,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8181818181818182, 0.8387096774193549]",10.071522571721149
50,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8181818181818182, 0.8387096774193549]",10.116062940452174
51,0.02644702086156319,"[0.875, 0.8235294117647058, 0.8181818181818182, 0.8387096774193549]",10.161606025475475
52,0.02644702086156319,"[0.875, 0.8181818181818182, 0.8387096774193549, 0.8235294117647058]",10.205451424509674
53,0.02644702086156319,"[0.875, 0.8181818181818182, 0.8387096774193549, 0.8235294117647058]",10.246544532004869
54,0.02644702086156319,"[0.8387096774193549, 0.8235294117647058, 0.8181818181818182, 0.875]",10.285858816313374
55,0.02644702086156319,"[0.8387096774193549, 0.8235294117647058, 0.8181818181818182, 0.875]",10.325287974620263
56,0.02644702086156319,"[0.8387096774193549, 0.8235294117647058, 0.8181818181818182, 0.875]",10.362874863156742
57,0.02644702086156319,"[0.8387096774193549, 0.8235294117647058, 0.8181818181818182, 0.875]",10.401097872268123
58,0.02644702086156319,"[0.8387096774193549, 0.8235294117647058, 0.8181818181818182, 0.875]",10.436758649706633
59,0.02644702086156319,"[0.8387096774193549, 0.8235294117647058, 0.8181818181818182, 0.875]",10.472516525546093
60,0.02644702086156319,"[0.8387096774193549, 0.8235294117647058, 0.8181818181818182, 0.875]",10.508163044969363
61,0.02644702086156319,"[0.8387096774193549, 0.8235294117647058, 0.8181818181818182, 0.875]",10.542734295341111
62,0.02644702086156319,"[0.8387096774193549, 0.8235294117647058, 0.8181818181818182, 0.875]",10.577546964897916
63,0.02644702086156319,"[0.875, 0.8181818181818182, 0.8387096774193549, 0.8235294117647058]",10.610555587982356
64,0.02644702086156319,"[0.875, 0.8387096774193549, 0.8181818181818182, 0.8235294117647058]",10.642966304028844
65,0.02644702086156319,"[0.875, 0.8181818181818182, 0.8387096774193549, 0.8235294117647058]",10.674567256719856
66,0.02644702086156319,"[0.8181818181818182, 0.8387096774193549, 0.8235294117647058, 0.875]",10.705514240369666
67,0.02644702086156319,"[0.8181818181818182, 0.8387096774193549, 0.8235294117647058, 0.875]",10.735410313258079
68,0.02644702086156319,"[0.8181818181818182, 0.8387096774193549, 0.8235294117647058, 0.875]",10.765281848243083
69,0.02644702086156319,"[0.8181818181818182, 0.8387096774193549, 0.8235294117647058, 0.875]",10.794972684538104
70,0.02644702086156319,"[0.8387096774193549, 0.8235294117647058, 0.8181818181818182, 0.875]",10.824123853056546
