,cv,num_pc,cluster_accuracy,cluster_distance
0,0.0648871152297154,1,"[0.8850574712643678, 0.9058823529411765, 0.8191489361702128, 0.83]","(23.150464842254735, 16.438540272502607, 7.947344626617533)"
1,0.10090811646240103,2,"[0.8118811881188119, 0.8977272727272727, 0.8282828282828283, 0.9102564102564102]","(23.010005210542513, 16.602985370917473, 8.181911231294796)"
2,0.5293781949173051,3,"[0.8695652173913043, 0.8728323699421965, 0.7532467532467533, 0.9285714285714286]","(21.744544523479817, 14.05845818150182, 10.292658529725337)"
3,0.5298292574721754,5,"[0.8728323699421965, 0.8695652173913043, 0.7564102564102564, 0.927536231884058]","(21.868202977863554, 14.05451822935159, 10.39032939718101)"
4,0.5503955779123718,10,"[0.8685714285714285, 0.7710843373493976, 0.9393939393939394, 0.8571428571428571]","(21.900275414473352, 14.278905127054163, 10.165897645528172)"
5,0.5503955779123718,15,"[0.8685714285714285, 0.8571428571428571, 0.9393939393939394, 0.7710843373493976]","(21.95353652887225, 14.240890008366145, 10.308039946275857)"
6,0.5597026379334048,20,"[0.8636363636363636, 0.7906976744186046, 0.9354838709677419, 0.8571428571428571]","(22.257723268185245, 14.26027122292804, 10.414050371564095)"
7,0.556224029731062,30,"[0.9365079365079365, 0.8636363636363636, 0.8604651162790697, 0.7857142857142857]","(22.285366120560752, 14.216499669973036, 10.464122180523248)"
8,0.5564387258809971,50,"[0.8636363636363636, 0.9344262295081968, 0.8636363636363636, 0.788235294117647]","(22.40794182933642, 14.187515941627796, 10.562163081753162)"
9,0.5624700349681686,80,"[0.8571428571428571, 0.8636363636363636, 0.7954545454545454, 0.9333333333333333]","(22.441506917666846, 14.275313155124737, 10.590018495411304)"
